Latitude,Longitude,Date,Region,Min-Deaths,Max-Deaths,Avg-Deaths,Location
,,,,,,,
34.841988,71.49765,30/10/2006,Bajaur,80,82,81.1,Chenagai-six-miles-north-of-Khar-Bajaur
32.622604,69.852448,23/06/2009,South Waziristan,40,80,60.1,Makeen-South-Waziristan
32.98793,69.763184,17/03/2011,North Waziristan,45,45,45.1,Datta-Khel-15-miles-west-of-Miram-Shah-North-Waziristan
32.52771,69.863434,08/07/2009,South Waziristan,17,40,28.6,Karwan-Manza-South-Waziristan
32.991386,70.291901,19/06/2007,North Waziristan,20,34,27.1,Mami-Rogha-26-miles-west-of-Miram-Shah-North-Waziristan
33.091541,70.274734,22/04/2011,North Waziristan,23,29,26.1,Spinwam-village-Mir-Ali-North-Waziristan
32.844982,69.56543,16/01/2007,South Waziristan,20,30,25.1,Salamat-Keley-Zamazola-South-Waziristan
33.005211,70.272675,16/05/2009,North Waziristan,10,40,25.1,Khesoor-18-miles-east-of-Miram-Shah-North-Waziristan
32.520184,69.868927,14/02/2009,South Waziristan,16,30,23.1,Near-Narsikhel-Ladha-South-Waziristan
33.683212,70.290527,16/02/2009,Kurram,15,31,23.1,Sur-Pul-near-Parachinar-Kurram
33.01442,70.085907,08/09/2008,North Waziristan,20,25,22.6,Danda-Darpa-Khel-outside-Miram-Shah-North-Waziristan
33.620338,70.750351,11/10/2012,Orakzai,16,26,21.1,Bulandkhel-Orakzai
32.285973,69.988403,03/07/2009,South Waziristan,6,35,20.6,Zamarai-Nairai-near-Kokat-Khel-28-miles-east-of-Wana-South-Waziristan
32.346901,69.498138,06/06/2011,South Waziristan,18,23,20.6,Wana-South-Waziristan-South-Waziristan
33.002907,70.094147,10/08/2011,North Waziristan,18,23,20.6,Miram-Shah-North-Waziristan
32.552601,69.609375,26/10/2008,South Waziristan,20,20,20.1,Shakai-region-north-of-Wana-South-Waziristan
34.818878,71.500397,24/10/2004,Khyber Pakhtunkhwa,15,24,19.6,Damadola-Bajaur-Khyber-Pakhtunkhwa
33.795128,70.768433,17/12/2010,Khyber,7,32,19.6,Sippah-village-near-Spin-Drand-in-the-Tirah-Valley-Khyber
32.957977,70.379791,27/12/2010,North Waziristan,18,21,19.6,Shera-Tala-area-near-Mir-Ali-North-Waziristan
32.932625,69.623108,08/06/2011,North Waziristan,15,23,19.1,"Zawal Narai area of Shawal Tehsil, North Waziristan"
33.106499,70.053635,16/11/2010,North Waziristan,16,20,18.1,"Ghulam Khan, 20 km north of Miram Shah, North Waziristan"
33.808819,70.279541,12/03/2009,Kurram,11,24,17.6,"Barjo, Kurram"
33.05949283,69.9176788,16/07/2014,North Waziristan,15,20,17.6,"Datta Khel, North Waziristan"
32.45068,69.277039,24/07/2010,South Waziristan,16,18,17.1,"Dwasarak village, 25 miles west of Wana, near Angoor Adda, South Waziristan"
32.3914,70.1126,16/11/2011,South Waziristan,12,22,17.1,"Babar Ghar, South Waziristan"
33.00538611,70.07612225,02/07/2013,North Waziristan,16,18,17.1,"Sarai Darpa Khel, North Waziristan"
33.003483,70.031662,21/08/2009,North Waziristan,12,21,16.6,"Darpa Khel, outside Miram Shah, North Waziristan"
32.989082,69.693146,17/12/2009,North Waziristan,15,18,16.6,"Godaivalla, in Datta Khel, North Waziristan"
32.997147,69.616241,10/03/2010,North Waziristan,12,21,16.6,"Mizar Madakhel, 25-31 miles west of Miram Shah, North Waziristan"
32.708733,69.559937,27/07/2011,South Waziristan,12,21,16.6,"Mantoi, South Waziristan"
32.659031,70.150452,17/01/2010,South Waziristan,12,20,16.1,"Nizba Village, Shaktoi region, South Waziristan"
32.9052,69.7488,11/03/2011,North Waziristan,7,25,16.1,"Gorwick, Datta Khel Town, 45 km west of Miram Shah, North Waziristan"
32.983898,69.75769,06/01/2010,North Waziristan,5,25,15.1,"Sanzali area of Datta Khel, North Waziristan"
33.018452,70.098953,03/09/2010,North Waziristan,5,25,15.1,"Machis Factory area on outskirts of Miram Shah, North Waziristan"
32.906975,69.758377,06/07/2012,North Waziristan,9,21,15.1,"Datta Khel village, North Waziristan"
34.809856,71.531296,14/05/2008,Bajaur,13,16,14.6,"Damadola, Bajaur"
32.998299,69.723358,03/10/2008,North Waziristan,8,21,14.6,"Mohammad Khel, near Datta Khel, North Waziristan"
32.669147,70.156975,14/01/2010,North Waziristan,11,18,14.6,"Shaktoi village in the Pasalkot region, North Waziristan"
32.479645,70.018616,09/05/2009,South Waziristan,8,20,14.1,"Tabbi Langar Khel, near Sarorogha, South Waziristan"
32.623184,69.841461,07/07/2009,South Waziristan,12,16,14.1,"Jangara, Makeen, South Waziristan"
32.995995,69.704819,11/05/2010,North Waziristan,14,14,14.1,"Doga area, Datta Khel, North Waziristan"
32.316151,69.462433,16/03/2008,South Waziristan,7,20,13.6,"Dhook Pir Bagh, near Wana, South Waziristan"
32.751476,70.072174,07/11/2008,North Waziristan,13,14,13.6,"Kumsham, 22 miles south of Miram Shah, North Waziristan"
32.981022,70.293274,19/06/2010,North Waziristan,11,16,13.6,"Sokhel village, 16 miles east of Miram Shah, North Waziristan"
33.028816,70.046082,23/08/2010,North Waziristan,7,20,13.6,"Danday Darpa Khel, North Waziristan"
34.801682,71.472588,06/01/2006,Bajaur,8,18,13.1,"Damadola, Bajaur"
33.672928,70.911255,01/04/2009,Orakzai,12,14,13.1,"Khadezai, Orakzai"
32.984474,69.715805,04/04/2009,North Waziristan,11,15,13.1,"Datta Khel, near Miram Shah, North Waziristan"
32.990234,70.31868,14/08/2010,North Waziristan,12,14,13.1,"Issori, 13 miles east of Miram Shah, North Waziristan"
33.756313,70.7547,17/12/2010,Khyber,11,15,13.1,"Narai Baba, Tirah valley, Khyber"
33.1344,70.4512,26/10/2011,North Waziristan,13,13,13.1,"Bobar, North Waziristan"
33.02613758,69.94514462,19/07/2014,North Waziristan,11,15,13.1,"Datta Khel, North Waziristan"
32.99398,70.237999,29/01/2008,North Waziristan,12,13,12.6,"Near Mir Ali, North Waziristan"
33.02018,70.029602,15/09/2010,North Waziristan,11,14,12.6,"Dargah Mandi, outskirts of Miram Shah, North Waziristan"
32.658455,70.179977,06/01/2013,South Waziristan,8,17,12.6,"Babar Ghar, South Waziristan"
33.004059,70.074921,12/09/2008,North Waziristan,12,12,12.1,"Tol Khel on the outskirts of Miram Shah, North Waziristan"
32.707577,69.873047,14/11/2008,North Waziristan,11,13,12.1,"Garyom, North Waziristan"
32.524239,69.794769,11/08/2009,South Waziristan,10,14,12.1,"Kani Guram, four miles from Ladha, South Waziristan"
33.6920485,70.0474217,16/10/2017,Kurram Agency,4,20,12.1,"Maqbal, Kurram Agency"
32.9767,70.269241,31/10/2008,North Waziristan,8,15,11.6,"Mir Ali, North Waziristan"
33.012695,69.761124,06/05/2011,North Waziristan,5,18,11.6,"Datta Khel, North Waziristan"
32.6138,69.5082,12/07/2011,North Waziristan,8,15,11.6,"Bray Nishtar, Shawal area, North Waziristan"
32.715954,69.610062,23/07/2012,North Waziristan,9,14,11.6,"Shawal, North Waziristan"
33.017876,70.254822,16/02/2012,North Waziristan,7,15,11.1,"Mir Ali, North Waziristan"
32.308025,69.409561,28/02/2008,South Waziristan,8,13,10.6,"Azam Warzak, South Waziristan"
32.311508,69.320984,12/08/2008,South Waziristan,9,12,10.6,"Bhagar, 22 miles west of Wana, South Waziristan"
32.989082,69.716492,21/05/2010,North Waziristan,9,12,10.6,"Asadabad village of Muhammad Khel area of Datta Khel, North Waziristan"
32.995419,69.77211,15/07/2010,North Waziristan,7,14,10.6,"Sheerani, Mada Khel, North Waziristan"
32.79882,69.507751,09/03/2012,South Waziristan,8,13,10.6,"Makin, South Waziristan"
32.97411,70.279541,04/06/2012,North Waziristan,6,15,10.6,"Hassokhel, North Waziristan"
32.270878,69.589462,23/01/2009,South Waziristan,10,10,10.1,"Dilfaraz or Ghangi Khel, near Wana, South Waziristan"
33.001755,69.713058,29/01/2010,North Waziristan,5,15,10.1,"Muhammad Khel, Datta Khel, North Waziristan"
33.881817,70.85907,15/05/2010,Khyber,5,15,10.1,"Ragha area, Tirah Valley, Khyber"
32.292938,69.304504,28/05/2010,South Waziristan,8,12,10.1,"Mizai Nari, 38 km west of Wana, South Waziristan"
33.027664,70.017242,08/09/2010,North Waziristan,10,10,10.1,"Danday Darpakhel, North Waziristan"
33.016724,69.906006,28/12/2010,North Waziristan,10,10,10.1,"Nawab village, in Ghulam Khan area, North Waziristan"
33.527657,70.285034,20/06/2011,Kurram,7,13,10.1,"Khardand, Kurram"
32.99736246,70.07629391,12/06/2014,North Waziristan,10,10,10.1,"Miramshah, North Waziristan"
32.29874,69.54071,31/10/2008,South Waziristan,7,12,9.6,"Wana, South Waziristan"
32.9538,70.262459,23/01/2009,North Waziristan,9,10,9.6,"Zharki (Zera), near Mir Ali, North Waziristan"
32.49065,70.004883,01/03/2009,South Waziristan,7,12,9.6,"Sararogha, near Wana, South Waziristan"
33.046082,70.019989,08/09/2009,North Waziristan,9,10,9.6,"Dargamandi village, 3 miles northwest of Miram Shah, North Waziristan"
32.991386,69.742584,16/03/2010,North Waziristan,8,11,9.6,"Datta Khel, 12 miles west of Miram Shah, North Waziristan"
33.021908,69.656754,14/09/2010,North Waziristan,7,12,9.6,"Bushnarai village, Shawal, North Waziristan"
33.052414,70.19165,08/02/2012,North Waziristan,9,10,9.6,"Spalga, North Waziristan"
32.298161,69.349136,12/05/2009,South Waziristan,8,10,9.1,"Sara Khwara, 25 km west of Wana, South Waziristan"
32.821903,69.979477,17/12/2009,North Waziristan,4,14,9.1,"Deegan village, North Waziristan"
33.042629,70.061188,24/02/2010,North Waziristan,4,14,9.1,"Dargi Mandi, 2.5 miles north of Miram Shah, North Waziristan"
33.024784,69.823608,12/04/2010,North Waziristan,5,13,9.1,"Boya village, 12 miles west of Miram Shah, North Waziristan"
32.66597,70.161438,25/07/2010,South Waziristan,4,14,9.1,"Shaktoi village in the Pasalkot region, South Waziristan"
32.6238,69.4968,12/07/2011,South Waziristan,5,13,9.1,"Malik Shahi village, Dremala/Bermal Tehsil, Shawal, near the border with North Waziristan and Paktika,, South Waziristan"
32.963451,70.31044,22/08/2011,North Waziristan,7,11,9.1,"Norak, near Mir Ali, North Waziristan"
32.884201,69.598389,05/05/2012,North Waziristan,8,10,9.1,"Shawal, North Waziristan"
33.1440818,70.0212442,26/04/2017,North Waziristan,7,11,9.1,"Lawara Mandi, North Waziristan"
33.046658,69.539337,05/09/2008,North Waziristan,5,12,8.6,"Gurwak, North Waziristan"
33.07716,70.069427,26/12/2009,North Waziristan,3,14,8.6,"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah, North Waziristan"
32.963161,70.241776,14/02/2010,North Waziristan,8,9,8.6,"Mir Ali, North Waziristan"
32.994267,69.558563,11/05/2010,North Waziristan,7,10,8.6,"Gorwek, near Afghan border, North Waziristan"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
